config,performance,traffic
sys SO store 64B sync 64B n 4 link 125,1.5380959038165805,0.7466666666666667
sys SO store 64B sync 64B n 4 link 150,1.5411866716214542,0.7466666666666667
sys SO store 64B sync 64B n 4 link 175,1.5523340423150118,0.7466666666666667
sys SO store 64B sync 64B n 4 link 200,1.557547361988185,0.7466666666666667
sys MP store 64B sync 64B n 4 link 25,0.7612001086071137,0.6533333333333333
sys MP store 64B sync 64B n 4 link 50,0.6993176315210213,0.6533333333333333
sys MP store 64B sync 64B n 4 link 75,0.6543846720707442,0.6533333333333333
sys MP store 64B sync 64B n 4 link 100,0.6186500748208238,0.6533333333333333
sys MP store 64B sync 64B n 4 link 125,0.5993289528869006,0.6533333333333333
sys MP store 64B sync 64B n 4 link 150,0.579338535860275,0.6533333333333333
sys MP store 64B sync 64B n 4 link 175,0.5655434904287473,0.6533333333333333
sys MP store 64B sync 64B n 4 link 200,0.5527602363006723,0.6533333333333333
sys DO store 64B sync 64B n 8 link 25,1.0,1.0
sys DO store 64B sync 64B n 8 link 50,1.0,1.0
sys DO store 64B sync 64B n 8 link 75,1.0,1.0
sys DO store 64B sync 64B n 8 link 100,1.0,1.0
sys DO store 64B sync 64B n 8 link 125,1.0,1.0
sys DO store 64B sync 64B n 8 link 150,1.0,1.0
sys DO store 64B sync 64B n 8 link 175,1.0,1.0
sys DO store 64B sync 64B n 8 link 200,1.0,1.0
sys SO store 64B sync 64B n 8 link 25,1.1219039853225972,0.5045045045045045
sys SO store 64B sync 64B n 8 link 50,1.4342848694824937,0.5153374233128835
sys SO store 64B sync 64B n 8 link 75,1.4417535532385803,0.5153374233128835
sys SO store 64B sync 64B n 8 link 100,1.4836120338832588,0.5153374233128835
sys SO store 64B sync 64B n 8 link 125,1.4916426040834716,0.5153374233128835
sys SO store 64B sync 64B n 8 link 150,1.5158665863470508,0.509090909090909
sys SO store 64B sync 64B n 8 link 175,1.5167670387536463,0.5153374233128835
sys SO store 64B sync 64B n 8 link 200,1.5403510586202807,0.5153374233128835
sys MP store 64B sync 64B n 8 link 25,0.6087045153399245,0.44144144144144143
sys MP store 64B sync 64B n 8 link 50,0.7009956740565523,0.450920245398773
sys MP store 64B sync 64B n 8 link 75,0.6541478893896163,0.450920245398773
sys MP store 64B sync 64B n 8 link 100,0.6366240088959907,0.450920245398773
sys MP store 64B sync 64B n 8 link 125,0.611545944174807,0.450920245398773
sys MP store 64B sync 64B n 8 link 150,0.6012615719102916,0.44545454545454544
sys MP store 64B sync 64B n 8 link 175,0.5849088392405858,0.450920245398773
sys MP store 64B sync 64B n 8 link 200,0.5798945790003559,0.450920245398773
sys DO store 64B sync 4KB n 2 link 25,1.0,1.0
sys DO store 64B sync 4KB n 2 link 50,1.0,1.0
sys DO store 64B sync 4KB n 2 link 75,1.0,1.0
sys DO store 64B sync 4KB n 2 link 100,1.0,1.0
sys DO store 64B sync 4KB n 2 link 125,1.0,1.0
sys DO store 64B sync 4KB n 2 link 150,1.0,1.0
sys DO store 64B sync 4KB n 2 link 175,1.0,1.0
sys DO store 64B sync 4KB n 2 link 200,1.0,1.0
sys SO store 64B sync 4KB n 2 link 25,1.3022284122562675,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 50,1.4030278453636118,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 75,1.4935439848834768,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 100,1.5832057172026544,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 125,1.6643658754593307,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 150,1.7391409033997882,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 175,1.7847292451962857,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 200,1.8352100476396709,1.1987577639751552
sys MP store 64B sync 4KB n 2 link 25,1.0,1.0
sys MP store 64B sync 4KB n 2 link 50,1.0,1.0
sys MP store 64B sync 4KB n 2 link 75,1.0,1.0
sys MP store 64B sync 4KB n 2 link 100,1.0,1.0
sys MP store 64B sync 4KB n 2 link 125,1.0,1.0
sys MP store 64B sync 4KB n 2 link 150,1.0,1.0
sys MP store 64B sync 4KB n 2 link 175,1.0,1.0
sys MP store 64B sync 4KB n 2 link 200,1.0,1.0
sys DO store 64B sync 4KB n 4 link 25,1.0,1.0
sys DO store 64B sync 4KB n 4 link 50,1.0,1.0
sys DO store 64B sync 4KB n 4 link 75,1.0,1.0
sys DO store 64B sync 4KB n 4 link 100,1.0,1.0
sys DO store 64B sync 4KB n 4 link 125,1.0,1.0
sys DO store 64B sync 4KB n 4 link 150,1.0,1.0
sys DO store 64B sync 4KB n 4 link 175,1.0,1.0
sys DO store 64B sync 4KB n 4 link 200,1.0,1.0
sys SO store 64B sync 4KB n 4 link 25,1.3210404781309426,1.1850877192982456
sys SO store 64B sync 4KB n 4 link 50,1.4074144127104218,1.1850877192982456
sys SO store 64B sync 4KB n 4 link 75,1.3100520833333333,1.1850877192982456
sys SO store 64B sync 4KB n 4 link 100,1.3271338425772168,1.1850877192982456
sys SO store 64B sync 4KB n 4 link 125,1.3557747347100524,1.1850877192982456
sys SO store 64B sync 4KB n 4 link 150,1.378815154242697,1.1850877192982456
sys SO store 64B sync 4KB n 4 link 175,1.3962414276512711,1.1850877192982456
sys SO store 64B sync 4KB n 4 link 200,1.3535692901337237,1.1850877192982456
sys MP store 64B sync 4KB n 4 link 25,0.9624422711219778,0.9885964912280701
sys MP store 64B sync 4KB n 4 link 50,0.9471029569384024,0.9885964912280701
sys MP store 64B sync 4KB n 4 link 75,0.8259895833333334,0.9885964912280701
sys MP store 64B sync 4KB n 4 link 100,0.7923803197798548,0.9885964912280701
sys MP store 64B sync 4KB n 4 link 125,0.770595746554533,0.9885964912280701
sys MP store 64B sync 4KB n 4 link 150,0.7530071188937075,0.9885964912280701
sys MP store 64B sync 4KB n 4 link 175,0.7484560300079567,0.9885964912280701
sys MP store 64B sync 4KB n 4 link 200,0.7129266183221342,0.9885964912280701
sys DO store 64B sync 4KB n 8 link 25,1.0,1.0
sys DO store 64B sync 4KB n 8 link 50,1.0,1.0
sys DO store 64B sync 4KB n 8 link 75,1.0,1.0
sys DO store 64B sync 4KB n 8 link 100,1.0,1.0
sys DO store 64B sync 4KB n 8 link 125,1.0,1.0
sys DO store 64B sync 4KB n 8 link 150,1.0,1.0
sys DO store 64B sync 4KB n 8 link 175,1.0,1.0
sys DO store 64B sync 4KB n 8 link 200,1.0,1.0
sys SO store 64B sync 4KB n 8 link 25,1.2895603237719502,1.164989939637827
sys SO store 64B sync 4KB n 8 link 50,1.3351140835593263,1.1659953970080552
sys SO store 64B sync 4KB n 8 link 75,1.3914355739118596,1.164989939637827
sys SO store 64B sync 4KB n 8 link 100,1.289637641429497,1.1670025914195221
sys SO store 64B sync 4KB n 8 link 125,1.3133795913170796,1.1670025914195221
sys SO store 64B sync 4KB n 8 link 150,1.3221494154236877,1.167843250252125
sys SO store 64B sync 4KB n 8 link 175,1.319215524850625,1.167170626349892
sys SO store 64B sync 4KB n 8 link 200,1.3476011386539781,1.1685166498486377
sys MP store 64B sync 4KB n 8 link 25,0.9224667746827746,0.971830985915493
sys MP store 64B sync 4KB n 8 link 50,0.8746202312256597,0.9726697353279632
sys MP store 64B sync 4KB n 8 link 75,0.8643285072391413,0.971830985915493
sys MP store 64B sync 4KB n 8 link 100,0.758690679913827,0.9735099337748344
sys MP store 64B sync 4KB n 8 link 125,0.7355808772041507,0.9735099337748344
sys MP store 64B sync 4KB n 8 link 150,0.714408305596754,0.9742112087595447
sys MP store 64B sync 4KB n 8 link 175,0.6985461366105379,0.9736501079913606
sys MP store 64B sync 4KB n 8 link 200,0.6994161281609076,0.9747729566094854
sys DO store 8B sync 4KB n 2 link 25,1.0,1.0
sys DO store 8B sync 4KB n 2 link 50,1.0,1.0
sys DO store 8B sync 4KB n 2 link 75,1.0,1.0
sys DO store 8B sync 4KB n 2 link 100,1.0,1.0
sys DO store 8B sync 4KB n 2 link 125,1.0,1.0
sys DO store 8B sync 4KB n 2 link 150,1.0,1.0
sys DO store 8B sync 4KB n 2 link 175,1.0,1.0
sys DO store 8B sync 4KB n 2 link 200,1.0,1.0
sys SO store 8B sync 4KB n 2 link 25,1.0491623792498717,1.9961089494163424
sys SO store 8B sync 4KB n 2 link 50,1.0689249520283106,1.9961089494163424
